301,225132,2 Cet,
330,225180,9 Cas,
355,225212,3 Cet,
531,144,10 Cas,
677,358,alpha And,
746,432,beta Cas,
841,571,22 And,
910,693,6 Cet,
1086,905,23 And,
1170,1038,7 Cet,
1473,1404,sigma And,
1501,1438,26 And,
1562,1522,iota Cet,
1686,1671,rho And,
1803,1835,9 Cet,
1960,2011,12 Cas,
2100B,-,10B Cet,
2100A,2273,10A Cet,
2343,2629,11 Cet,
2353,2637,12 Cet,
2355,2628,28 And,
2474,2729,13 Cas,
2505B,2772,lambda B Cas,
2505A,2772,lambda A Cas,
2599,2905,kappa Cas,
2707A,3038,16A Cas,
2707B,-,16B Cas,
2762A,3196,13A Cet,
2762B,3196,13B Cet,
2787,3229,14 Cet,
2920,3369,zeta Cas,
2994,3512,15 Cet,
3031,3546,epsilon And,
3092,3627,delta And,
3179,3712,alpha Cas,
3231,3817,32 And,
3300,3901,xi Cas,
3414,4058,pi Cas,
3419,4128,beta Cet,
3455,4188,phi 1,Cet
3504,4180,omicron Cas,
3559,4307,18 Cet,
3572,4161,21 Cas,
3693,4502,zeta And,
3721,4382,23 Cas,
3801,4636,nu Cas,
3821B,4614,eta BCas,
3821A,4614,eta A Cas,
3881,4727,nu And,
3909,4813,phi 2 Cet,
4147,5112,20 Cet,
4257,5268,21 Cet,
4288A,5286,36 A And,
4288B,5286,36 B And,
4292,5234,upsilon 1 Cas,
4371,5437,phi 3 Cet,
4422,5395,upsilon 2 Cas,
4427,5394,gamma Cas,
4436,5448,mu And,
4463,5516,eta And,
4587,5722,phi 4 Cet,
4903,6116,39 And,
4914,6203,25 Cet,
4979,6288,26 Cet,
5121,6482,27 Cet,
5164,6530,28 Cet,
5296,6706,30 Cet,
5315,6734,29 Cet,
5317,6658,41 And,
5336,6582,mu Cas,
5364,6805,eta Cet,
5434A,6811,phi A And,
5434B,6811,phi B And,
5447,6860,beta And,
5485,6976,32 Cet,
5493,6920,44 And,
5510,7014,33 Cet,
5518,6829,31 Cas,
5542,6961,theta Cas,
5550,7019,45 And,
5589,6972,32 Cas,
5594,7147,34 Cet,
5646,7218,35 Cet,
5666,7268,36 Cet,
5799,7439,37 Cet,
5833,7476,38 Cet,
5951,7672,39 Cet,
5985,7727,40 Cet,
6048,7812,41 Cet,
6226,8036,42 Cet,
6242,7927,phi Cas,
6312,8003,35 Cas,
6411,8207,xi And,
6429,8335,43 Cet,
6514,8374,47 And,
6537,8512,theta Cet,
6539,8511,44 Cet,
6670,8705,46 Cet,
6686,8538,delta,Cas
6692,8491,psi Cas,
6748,8829,47 Cet,
6813,8799,omega And,
6960,9132,48 Cet,
6999,9057,49 And,
7078,9021,38 Cas,
7294,9408,chi Cas,
7345,9672,49 Cet,
7450,9856,50 Cet,
7513,9826,upsilon And,
7607,9927,51 And,
7650,9774,40 Cas,
7719,10072,chi And,
7818,10205,tau And,
7965,10221,43 Cas,
8016,10250,42 Cas,
8046,10425,44 Cas,
8102,10700,tau Cet,
8387,10982,4 Ari,
8497,11171,chi Cet,
8544,11155,1B Ari,
8544,11154,1A Ari,
8645,11353,zeta Cet,
8814,11428,55 And,
8832B,11502,gamma 1 Ari,
8832A,11503,gamma 2 Ari,
8886,11415,epsilon Cas,
8903,11636,beta Ari,
8993,11763,7 Ari,
9001,11727,56B And,
9009,11529,omega,Cas
9021,11749,56A And,
9061,11930,56 Cet,
9110,11909,iota Ari,
9153,11973,lambda Ari,
9165B,12020,58B Cet,
9165A,12020,58A Cet,
9326,12255,57 Cet,
9347,12274,upsilon Cet,
9480B,12111,48B Cas,
9480A,12111,48A Cas,
9564,12279,52 Cas,
9573,12301,53 Cas,
9589,12573,60 Cet,
9598,12216,50 Cas,
9621B,12558,10B Ari,
9621A,12558,10A Ari,
9631,12641,61 Cet,
9640A,12533,gamma 1 And,
9640C,12534,gamma 2C And,
9640B,12534,gamma 2B And,
9727,12230,47 Cas,
9763,12339,49 Cas,
9802,12441,51 Cas,
9836,12869,kappa Ari,
9859,12885,11 Ari,
9884,12929,alpha Ari,
9977,13041,58 And,
10031,12800,54 Cas,
10033,13228,62 Cet,
10053,13174,14 Ari,
10155,13325,15 Ari,
10176,13294,59 A And,
10180,13295,59 B And,
10203,13363,16 Ari,
10212,13421,64 Cet,
10234,13468,63 Cet,
10303,13612,66 B Cet,
10305,13612,66 A Cet,
10306,13555,eta Ari,
10324,13611,x 1 Cet,
10328,13596,19 Ari,
10340,13520,60 And,
10438,13474,55 Cas,
10535A,13872,21 A Ari,
10535B,13872,21 A Ari,
10540,13871,20 Ari,
10642,14129,67 Cet,
10732,14191,theta Ari,
10810,14305,23 Ari,
10819,14212,62 And,
10826,14386,omicron Cet,
10944,14392,63 And,
11021,14652,69 Cet,
11046,14690,70 Cet,
11220,14770,64 And,
11249,14951,xi Ari,
11261,15004,71 Cet,
11313,14872,65 And,
11345,15130,rho Cet,
11465,15138,66 And,
11484,15318,xi 2 Cet,
11569A,15089,iota A Cas,
11569B,15089,iota B Cas,
11678,15550,26Ari,
11698,15596,27Ari,
11783,15798,sigma Cet,
11791,15779,75 et,
11843,15814,29 Ari,
12002,16074,77 Cet,
12048,16141,79 Cet,
12093,16161,nu Cet,
12107,16212,80 Cet,
12153,16234,31 Ari,
12184,16232,30B Ari,
12189,16246,30A Ari,
12247,16400,81 Cet,
12332,16432,nu Ari,
12387,16582,delta Cet,
12390B,16620,epsilon B Cet,
12390A,16620,epsilon A Cet,
12489,16628,33 Ari,
12530B,16765,84B Cet,
12530A,16765,84A Cet,
12640,16811,mu Ari,
12706A,16970,gamma Cet,
12719,16908,35 Ari,
12770,17081,pi Cet,
12784,17017,36 Ari,
12803,17036,omicron Ari,
12828,17094,mu Cet,
12832,17093,38 Ari,
13061,17361,39 Ari,
13108,17459,40 Ari,
13165A,17543,pi A Ari,
13165B,17543,pi B Ari,
13209,17573,41 Ari,
13327,17769,sigma Ari,
13579,18091,44 Ari,
13654,18191,45 Ari,
13702,18256,rho Ari,
13834,18404,47 Ari,
13914B,18519,epsilon B Ari,
13914A,18520,epsilon A Ari,
13954,18604,lambda Cet,
14021A,18654,50 A Ari,
14021B,18654,50 B Ari,
14109,18769,49 Ari,
14135,18884,alpha Cet,
14143,18883,93 Cet,
14150,18803,51 Ari,
14376A,19134,52 A Ari,
14376B,19135,52 B Ari,
14514,19374,53 Ari,
14586,19460,54 Ari,
14677,19548,55 Ari,
14838,19787,delta Ari,
14954,19994,94 Cet,
15110,20150,zeta Ari,
15383A,20559,95A Cet,
15383B,20559,95B Cet,
15457,20630,kappa Cet,
15514,20618,59 Ari,
15547,19978,47 Cep,
15557,20663,60 Ari,
15619,20791,97 Cet,
15627B,20756,tau B Ari,
15627A,20756,tau A Ari,
15696,20825,62 Ari,
15737B,-,63B Ari,
15737A,20893,63A Ari,
15861,21017,64 Ari,
15870,21050,65 Ari,
16181A,21467,66A Ari,
16181B,21467,66B Ari,
17959,23401,gamma Cam,
21060,28873,delta Cae,
21148B,28446,1B Cam,
